requests_per_minute,failed_requests,unique_urls,avg_response_size,method_get,method_post,is_night
6,0,1,1063,1,1,1
4,0,1,1160,1,0,1
2,0,4,741,1,0,1
2,0,4,565,1,0,1
6,0,3,824,1,0,1
6,0,2,993,1,0,1
3,0,3,414,1,0,1
5,0,2,672,1,0,1
2,0,2,1254,1,0,1
1,0,1,452,1,0,1
1,0,2,511,1,0,1
3,0,1,843,1,0,1
2,1,3,1233,1,0,1
2,0,3,1224,1,0,1
6,0,4,939,1,0,1
4,0,5,1218,1,0,1
2,0,1,517,1,0,1
2,0,1,670,1,0,1
2,0,5,762,1,0,1
4,0,5,1376,1,0,1
3,1,4,901,1,0,1
4,0,3,976,1,0,1
6,1,2,645,1,0,1
1,0,4,749,1,0,1
3,0,5,1493,1,0,1
6,1,4,1344,1,0,1
3,0,2,1289,1,0,1
1,0,5,1296,1,0,1
2,0,4,1401,1,0,1
1,0,3,484,1,0,1
3,0,4,1287,1,0,1
1,0,1,549,1,0,1
3,0,1,1072,1,0,1
4,0,2,522,1,0,1
5,1,5,1460,1,0,1
4,1,1,495,1,0,1
4,0,3,1245,1,0,1
2,0,2,1481,1,1,1
4,0,2,1120,1,0,1
5,0,2,476,1,0,1
3,1,1,419,1,0,1
3,0,2,996,1,0,1
5,1,5,1227,1,0,1
4,0,4,807,1,0,1
2,0,2,930,1,0,1
1,0,2,1203,1,1,1
5,0,5,1417,1,0,1
1,0,5,1024,1,0,1
6,0,2,416,1,0,1
4,0,5,717,1,0,1
1,0,2,1183,1,0,1
1,0,5,1107,1,1,1
5,0,4,1185,1,1,1
5,0,2,1252,1,0,1
1,0,4,1157,1,0,1
4,0,2,1100,1,0,1
6,0,1,725,1,0,1
4,1,4,417,1,0,1
2,0,4,637,1,1,1
5,0,1,621,1,0,1
2,0,1,1368,1,0,1
3,0,2,1453,1,0,1
5,0,5,1442,1,0,1
5,0,3,500,1,0,1
1,1,4,977,1,0,1
5,0,3,687,1,0,1
5,0,4,633,1,0,1
3,0,1,645,1,0,1
4,0,5,496,1,0,1
4,0,4,1181,1,0,1
1,0,4,1408,1,0,1
2,0,4,1110,1,1,1
6,0,2,867,1,1,1
6,0,3,1178,1,0,1
2,0,3,575,1,0,1
3,1,1,1381,1,0,1
2,1,4,1445,1,0,1
2,0,5,811,1,0,1
3,0,4,862,1,0,1
5,0,1,521,1,0,1
1,0,4,705,1,1,1
5,0,2,1175,1,0,1
3,0,4,609,1,0,1
6,0,1,870,1,0,1
5,0,1,953,1,0,1
1,0,3,1320,1,0,1
5,0,3,425,1,0,1
2,0,3,1284,1,0,1
2,0,1,1239,1,0,1
2,0,5,459,1,0,1
1,0,1,743,1,0,1
2,0,1,412,1,0,1
4,0,2,1060,1,0,1
4,0,4,629,1,0,1
6,0,5,522,1,0,1
5,0,4,594,1,0,1
1,0,4,1499,1,0,1
5,0,5,963,1,0,1
2,0,1,873,1,0,1
6,0,2,1008,1,0,1
1,0,5,402,1,0,1
3,0,1,575,1,0,1
2,0,5,434,1,0,1
3,0,1,1004,1,0,1
1,0,5,754,1,0,1
1,0,5,1335,1,0,1
1,0,1,1097,1,0,1
2,0,3,1211,1,1,1
2,0,3,830,1,0,1
6,0,3,1064,1,1,1
2,0,5,852,1,0,1
2,0,5,490,1,0,1
3,1,3,930,1,0,1
1,1,1,1339,1,0,1
3,0,4,722,1,0,1
4,0,2,1077,1,0,1
2,0,3,1341,1,1,1
4,0,4,1365,1,0,1
5,0,3,1002,1,0,1
4,0,1,445,1,0,1
2,0,4,1141,1,0,1
5,0,3,701,1,0,1
5,0,2,700,1,0,1
